author,year,title,journal,volume,issue,pages,first_page,last_page,doi,url,annotation,keywords,notes,raw_publication_info
"Cain, Mary Ann",2009,Bringing it home: The struggle for public space in education [review essay],JAC: Journal of Advanced Composition,29,4,833-842,833,842,,,,"Living Room: Teaching Public Writing in a Privatized World, by Nancy Welch, Utopian Pedagogy: Radical Experiments against Neoliberal Globalization, by Mark Cote, Richard J. F. Day, & Greg de Peuter, action, symbolic action, English-studies, activism, economics, private-public, radicalism",,"*JAC: Journal of Advanced Composition 29.4*, 833-842"
"Coogan, David",2009,[book review],JAC: Journal of Advanced Composition,29,4,843-848,843,848,,,,"City of Rhetoric: Revitalizing the Public Sphere in Metropolitan America, by David Fleming, public sphere, polis, Cabrini Green",,"*JAC: Journal of Advanced Composition 29.4*, 843-848"
"Ludwig, Jeff",2009,[book review],JAC: Journal of Advanced Composition,29,4,849-857,849,857,,,,"Between Politics and Ethics: Toward a Vocative History of English Studies, by James N. Comas, literary-studies, English-studies, political, vocative, ethos",,"*JAC: Journal of Advanced Composition 29.4*, 849-857"
"Swearingen, C. Jan",2009,[book review],JAC: Journal of Advanced Composition,29,4,857-862,857,862,,,,"Paul Ricoeur: Tradition and Interpretation in Rhetorical Theory, by Andreea Deciu Ritivoi, hermeneutics, theory, interpretive, tradition",,"*JAC: Journal of Advanced Composition 29.4*, 857-862"
"Ray, Brian",2009,[book review],JAC: Journal of Advanced Composition,29,4,862-870,862,870,,,,"Buying into English: Language and Investment in the New Capitalist World, by Catherine Prendergast, Slovakia, globalism, standard English, ESL",,"*JAC: Journal of Advanced Composition 29.4*, 862-870"
"Kill, Melanie",2009,[book review],JAC: Journal of Advanced Composition,29,4,870-875,870,875,,,,"The Future of Invention: Rhetoric, Postmodernism, and the Problem of Change, by John Muckelbauer",,"*JAC: Journal of Advanced Composition 29.4*, 870-875"
"Porter, Kevin J",2009,[book review],JAC: Journal of Advanced Composition,29,4,876-882,876,882,,,,"Acts of Enjoyment: Rhetoric, Zizek, and the Return of the Subject, by Thomas Rickert, akrasia, jouissance, critical pedagogy, postpedagogy , subjectivity",,"*JAC: Journal of Advanced Composition 29.4*, 876-882"
"Zwagerman, Sean",2009,[book review],JAC: Journal of Advanced Composition,29,4,882-890,882,890,,,,"Pluralizing Plagiarism: Identities, Contexts, Pedagogies, edited by Rebecca Moore Howard & Amy E. Robillard",,"*JAC: Journal of Advanced Composition 29.4*, 882-890"
"DeGenaro, William",2009,[book review],JAC: Journal of Advanced Composition,29,4,891-895,891,895,,,,"Rethinking racism: Emotion, Persuasion, and Literacy Education in an All-white High School, by Jennifer Seibel Trainor, ethnography, affect, civic-discourse, literacy, critical pedagogy, antiracism",,"*JAC: Journal of Advanced Composition 29.4*, 891-895"
"Giroux, Henry A",2010,Locked up: The youth crime complex and education in America,JAC: Journal of Advanced Composition,30,1-2,11-52,11,52,,,,"childhood, youth, prison, crime, children, theory, neoliberalism, punishment, public school, USA",,"*JAC: Journal of Advanced Composition 30.1-2*, 11-52"
"Pruchnic, Jeff",2010,"Ironic encounters: Ethics, aesthetics, and the 'liberal bias' of composition pedagogy",JAC: Journal of Advanced Composition,30,1-2,53-93,53,93,,,,"theory, critical-theory, critical pedagogy, irony, political, aesthetics, ethical, liberal, bias, composition-studies, irony, pedagogy",,"*JAC: Journal of Advanced Composition 30.1-2*, 53-93"
"Jensen, Kyle",2010,The panoptic portfolio: Reassessing power in process-oriented writing instruction,JAC: Journal of Advanced Composition,30,1-2,95-141,95,141,,,,"theory, portfolio, evaluation, assessment, panopticon, power, empowerment, Foucault, discipline, surveillance, normativity, self-reflection, archive, process-oriented",,"*JAC: Journal of Advanced Composition 30.1-2*, 95-141"
"Skinnell, Ryan",2010,A problem of publics and the curious case at Texas,JAC: Journal of Advanced Composition,30,1-2,143-173,143,173,,,"In 1990, English department faculty at the University of Texas, Austin attempted to redesign first-year composition to help students think about civic issues and write reasoned arguments. The course was soon targeted by conservative critics who claimed it constituted â€œideological advocacyâ€ in writing classrooms. As the controversy exploded, it became a national touch point in Americaâ€™s culture wars. The public attention has been seen in retrospect as a major factor in the courseâ€™s eventual cancellation, but public attention was necessary for both supporters and opponents to achieve their goals for the course. The conservative backlash that caused the courseâ€™s cancellation points less to the quality of the course than to the lack of ethos of Rhetoric and Composition specialists. If writing specialists hope to have authority with publics, there needs to be a general movement towards establishing common ground with publics that may hold views that contradict disciplinary commonplaces.","public-intellectual, history, public, public sphere, culture wars, rhet-comp, political, Linda Brodkey, department, University of Texas, ethos",,"*JAC: Journal of Advanced Composition 30.1-2*, 143-173"
"Newcomb, Matthew J",2010,Feeling the vulgarity of numbers: The Rwandan genocide and the classroom as a site of response to suffering,JAC: Journal of Advanced Composition,30,1-2,175-213,175,213,,,,"pedagogy, Rwanda, genocide, emotion, empirical, numbers, statistical, narrative, suffering, classroom",,"*JAC: Journal of Advanced Composition 30.1-2*, 175-213"
"Nicotra, Jodie and Judith Totman Parrish",2010,Rushing the cure: Temporal rhetorics in global warming discourse,JAC: Journal of Advanced Composition,30,1-2,215-237,215,237,,,,"temporality, rhetorical, climate change, global warming, chronotope, meterology, climatology, paleoclimatology",,"*JAC: Journal of Advanced Composition 30.1-2*, 215-237"
"Ryden, Wendy",2010,From purgation to recognition: Catharsis and the dialectic of public and private in healing writing,JAC: Journal of Advanced Composition,30,1-2,239-267,239,267,,,,"personal, bibliotherapy, authoring, purgation, recognition, dialectic, private-public, StoryCorps, audience, creative nonfiction, listening, catharsis",,"*JAC: Journal of Advanced Composition 30.1-2*, 239-267"
"Presley, John Woodrow",2010,"Neurasthenia and the cure of literature: Robert Graves, Siegfried Sassoon, Andy Collins",JAC: Journal of Advanced Composition,30,1-2,269-313,269,313,,,,"neurasthenia, PTSD, 'Sergeant back again', shell shock, war, text-analysis, literary-analysis, Robert Graves, Siegfried Sassoon, Andy Collins",,"*JAC: Journal of Advanced Composition 30.1-2*, 269-313"
"Heard, Matthew",2010,Hospitality and generosity [response to Dale Jacobs],JAC: Journal of Advanced Composition,30,1-2,315-335,315,335,,,,"hospitality, pedagogy, rhet-comp, generosity",,"*JAC: Journal of Advanced Composition 30.1-2*, 315-335"
"Vee, Annette",2010,Procedural rhetoric and expressionism [review essay],JAC: Journal of Advanced Composition,30,1-2,337-350,337,350,,,,"multimedia, Expressive Processing: Digital Fictions, Computer Games, and Software Studies, by Noah Wardrip-Fruin, Persuasive games: The Expressive Power of Video Games, by Ian Bogost, digital, ludology, procedural rhetoric",,"*JAC: Journal of Advanced Composition 30.1-2*, 337-350"
"Seas, Kristen",2010,[book review],JAC: Journal of Advanced Composition,30,1-2,351-358,351,358,,,,"The Signifying Body: Towards an Ethics of Sexual and Racial Difference, by Penelope Ingram, gender-difference, signification, racial, ethical",,"*JAC: Journal of Advanced Composition 30.1-2*, 351-358"
"Thompson, Jason",2010,[book review],JAC: Journal of Advanced Composition,30,1-2,358-363,358,363,,,,"Burke, War, Words: Rhetoricizing Dramatism, by M. Elizabeth Weiser, pentad, militarism, Kenneth Burke",,"*JAC: Journal of Advanced Composition 30.1-2*, 358-363"
"Gaillet, Lynee Lewis",2010,[book review],JAC: Journal of Advanced Composition,30,1-2,364-368,364,368,,,,"Outward, Visible Propriety: Stoic Philosophy and Eighteenth-century British Rhetorics, by Lois Peters Agnew, common sense, taste, sympathy, propriety, 18th-century, stoicism",,"*JAC: Journal of Advanced Composition 30.1-2*, 364-368"
"Figueiredo, Sergio",2010,[book review],JAC: Journal of Advanced Composition,30,1-2,369-377,369,377,,,,"Plugged in: Technology, Rhetoric and Culture in a Posthuman Age', edited by Lynn Worsham & Gary A. Olson, digital, social networking",,"*JAC: Journal of Advanced Composition 30.1-2*, 369-377"
"Lackey, Dundee",2010,[book review],JAC: Journal of Advanced Composition,30,1-2,378-380,378,380,,,,"Critical Play: Radical Game Design, by Mary Flanagan, art-history, activism, play, ludic, game-design, critique",,"*JAC: Journal of Advanced Composition 30.1-2*, 378-380"
"Thompson, Riki",2010,[book review],JAC: Journal of Advanced Composition,30,1-2,381-386,381,386,,,,"Patient Tales: Case Histories and the Uses of Narrative in Psychiatry, by Carol Berkenkotter, case-history, genre, mental-health, medical, bibliotherapy, psychiatric",,"*JAC: Journal of Advanced Composition 30.1-2*, 381-386"
"Fahnestock, Jeanne",2010,[book review],JAC: Journal of Advanced Composition,30,1-2,386-392,386,392,,,,"Patient Tales: Case Histories and the Uses of Narrative in Psychiatry, by Carol Berkenkotter, mental-health, mental illness, case-history, psychiatric",,"*JAC: Journal of Advanced Composition 30.1-2*, 386-392"
"Talbot, Jen",2010,[book review],JAC: Journal of Advanced Composition,30,1-2,393-397,393,397,,,,"Class Degrees: Smart Work, Managed Choice, and the Transformation of Higher Education, by Evan Watkins, vocational, worker-training, education, social-class, labor, transformative",,"*JAC: Journal of Advanced Composition 30.1-2*, 393-397"
"Worsham, Lynn",2010,"From the editor: Thinking with cats (more, to follow) [editorial]",JAC: Journal of Advanced Composition,30,3-4,405-433,405,433,,,,"animal-studies, human-animal, violence, anthropocentrism, trauma",,"*JAC: Journal of Advanced Composition 30.3-4*, 405-433"
"Tyler, Tom",2010,The rule of thumb,JAC: Journal of Advanced Composition,30,3-4,435-456,435,456,,,,"opposable thumb, anatomy, humanity, human-animal, exceptionalism",,"*JAC: Journal of Advanced Composition 30.3-4*, 435-456"
"Boddice, Rob",2010,The moral status of animals and the historical human cachet,JAC: Journal of Advanced Composition,30,3-4,457-489,457,489,,,,"animal-studies, human-animal, speciesism, anthropocentrism, history, historiography, ethical, kinship, pain, representation",,"*JAC: Journal of Advanced Composition 30.3-4*, 457-489"
"Glenn, Cathy B",2010,Conceiving person: Toward a fully democratic critical practice,JAC: Journal of Advanced Composition,30,3-4,491-514,491,514,,,,"animal-studies, human-animal, personhood, humanity, definition, legal-rights, personalism",,"*JAC: Journal of Advanced Composition 30.3-4*, 491-514"
"Hosford, Desmond",2010,Uneasy anthropocentrism: Cartesianism and the ethics of species differentiation in seventeenth-century France,JAC: Journal of Advanced Composition,30,3-4,515-538,515,538,,,,"animal-studies, human-animal, Descartes, Cartesian, food, Montaigne, difference, anthropocentrism, France, 17th-century, history",,"*JAC: Journal of Advanced Composition 30.3-4*, 515-538"
"Rule, Stacy",2010,"Indexical humans, iconic animals",JAC: Journal of Advanced Composition,30,3-4,539-555,539,555,,,,"animal-studies, human-animal, extinction, anthropocentrism, iconic, film, indexicality",,"*JAC: Journal of Advanced Composition 30.3-4*, 539-555"
"Patton, Priscilla",2010,Theory: Gone to the dogs,JAC: Journal of Advanced Composition,30,3-4,557-582,557,582,,,,"animal-studies, human-animal, theory, humanity, difference, narrative",,"*JAC: Journal of Advanced Composition 30.3-4*, 557-582"
"Frank, Luanne",2010,"Heiddeger, Captain Paul Watson, and the ‘look’ of Leviathan",JAC: Journal of Advanced Composition,30,3-4,583-617,583,617,,,,"animal-studies, human-animal, animal-intelligence, Parmenides, alethic, looking, whale, history, Heiddeger, Paul Watson, Leviathan",,"*JAC: Journal of Advanced Composition 30.3-4*, 583-617"
"Marshall, Jonathan W",2010,"Derrida's cat, the Infanta's mastiff, and the performative mise en scene of Pet Photo Booth",JAC: Journal of Advanced Composition,30,3-4,619-643,619,643,,,,"animal-studies, human-animal, Jacques Derrida, identity, performative, fine art, portrait",,"*JAC: Journal of Advanced Composition 30.3-4*, 619-643"
"Merola, Nicole",2010,"Monkeys, apes, and bears, oh my! Illuminating the politics of human-animal relationship in Jill Greenberg's 'Monkey portraits' and 'Bear portraits'",JAC: Journal of Advanced Composition,30,3-4,645-681,645,681,,,,"animal-studies, human-animal, fine art, portrait, anthropomorphism, image, digital manipulation, projection, overidentification, emotion, Jill Greenberg",,"*JAC: Journal of Advanced Composition 30.3-4*, 645-681"
"Walters, Shannon",2010,Animal Athena: The interspecies metis of women writers with autism,JAC: Journal of Advanced Composition,30,3-4,683-711,683,711,,,,"animal-studies, women, human-animal, animality, humanity, metissage, disability, autism, Temple Grandin, Dawn Prince Hughes, inhuman",,"*JAC: Journal of Advanced Composition 30.3-4*, 683-711"
"Weil, Kari",2010,Shameless freedom,JAC: Journal of Advanced Composition,30,3-4,713-726,713,726,,,,"animal-studies, human-animal, J.M. Coetzee, anthropocentrism, animal-testing, exceptionalism, shame",,"*JAC: Journal of Advanced Composition 30.3-4*, 713-726"
"Hansen, Natalie Corinne",2010,Horse stories: Perverse victimization,JAC: Journal of Advanced Composition,30,3-4,727-754,727,754,,,,"animal-studies, human-animal, Anna Sewell, 'Black Beauty, his Grooms and Companions: The Autobiography of a Horse', text-analysis, victimization",,"*JAC: Journal of Advanced Composition 30.3-4*, 727-754"
"Armbruster, Karla",2010,"Into the wild: Response, respect, and the human control of canine sexuality and reproduction",JAC: Journal of Advanced Composition,30,3-4,755-783,755,783,,,,"animal-studies, human-animal, breeding, control, sexuality, sterilization, ecofeminism, reproductive-rights, respect",,"*JAC: Journal of Advanced Composition 30.3-4*, 755-783"
"Robillard, Amy",2010,"Anticipating nostalgia, securing Annabelle",JAC: Journal of Advanced Composition,30,3-4,785-812,785,812,,,,"animal-studies, human-animal, grief, emotion, illness, sentimentality, nostalgia",,"*JAC: Journal of Advanced Composition 30.3-4*, 785-812"
"MacFarland, Sarah E",2010,'The animal' is a verb: Liberating the subject of animal studies [review essay],JAC: Journal of Advanced Composition,30,3-4,813-823,813,823,,,,"animal-studies, human-animal, The Moral Menagerie, by Marc R. Fellenz, Animals as Persons, by Gary L. Francione, animal-rights",,"*JAC: Journal of Advanced Composition 30.3-4*, 813-823"
"Benson, Etienne",2010,[book review],JAC: Journal of Advanced Composition,30,3-4,825-834,825,834,,,,"Animal Encounters, by Tom Tyler & Manuela Rossini, animal-studies, human-animal",,"*JAC: Journal of Advanced Composition 30.3-4*, 825-834"
"Rollins, Brooke",2010,[book review],JAC: Journal of Advanced Composition,30,3-4,834-839,834,839,,,,"'This is not sufficient: An essay on animality and human nature in Derrida', by Leonard Lawler, animal-studies, human-animal, violence, Jacques Derrida",,"*JAC: Journal of Advanced Composition 30.3-4*, 834-839"
"O'Neill, Kevin",2010,[book review],JAC: Journal of Advanced Composition,30,3-4,839-848,839,848,,,,"Philosophy and Animal Life' by Stanley Cavell, Cora Diamond, John McDowell, & Cary Wolfe, animal-studies, human-animal",,"*JAC: Journal of Advanced Composition 30.3-4*, 839-848"
"Pruchnic, Jeff",2010,[book review],JAC: Journal of Advanced Composition,30,3-4,848-857,848,857,,,,"Humans Animals Machines: Blurring Boundaries, by Glen A. Mazis, animal-studies, human-animal",,"*JAC: Journal of Advanced Composition 30.3-4*, 848-857"
"Carman, Jane L",2010,[book review],JAC: Journal of Advanced Composition,30,3-4,857-862,857,862,,,,"When Species Meet, by Donna J. Haraway, animal-studies, human-animal, interspecies",,"*JAC: Journal of Advanced Composition 30.3-4*, 857-862"
"Mendieta, Eduardo",2010,[book review],JAC: Journal of Advanced Composition,30,3-4,862-869,862,869,,,,"Animal Capital: Rendering Life in Biopolitical Times, by Nicole Shukin, animal-studies, human-animal, materiality, history, capitalism, class",,"*JAC: Journal of Advanced Composition 30.3-4*, 862-869"
"Wood, Winifred J",2011,Bunnies for pets or meat: The slaughterhouse as cinematic metaphor,JAC: Journal of Advanced Composition,31,1-2,11-44,11,44,,,,"animal-studies, violence, cinema, human-animal, death, animal, anthropocentrism, text-analysis, meat, 'Modern Times', 'Roger and me', 'Fast food nation', 'Killer of sheep'",,"*JAC: Journal of Advanced Composition 31.1-2*, 11-44"
"Helmers, Marguerite",2011,"Hybridity, ethos, and visual representations of Smokey Bear",JAC: Journal of Advanced Composition,31,1-2,45-69,45,69,,,,"hybridity, ethos, visual, representation, Smokey Bear, animal-studies, human-animal, animal, ontology, anthropocentrism, identification, simulacrum, visual-rhetoric, text-analysis, representation",,"*JAC: Journal of Advanced Composition 31.1-2*, 45-69"
"Lewiecki-Wilson, Cynthia",2011,"Ableist rhetorics, nevertheless: Disability and animal rights in the work of Peter Singer and Martha Nussbaum",JAC: Journal of Advanced Composition,31,1-2,71-101,71,101,,,,"ableist rhetoric, Peter Singer, Martha Nussbaum, animal-studies, human-animal, rhetorical-analysis, disability-studies, capabilities approach, utilitarian, preference utilitarianism, political-philosophy",,"*JAC: Journal of Advanced Composition 31.1-2*, 71-101"
"Giroux, Henry A",2011,Memories of hope in the age of disposability,JAC: Journal of Advanced Composition,31,1-2,103-121,103,121,,,,"youth, memory, working-class, narrative, witnessing, disposability, hope, testimony, social contract, neoliberalism",,"*JAC: Journal of Advanced Composition 31.1-2*, 103-121"
"Kraemer, Don J",2011,Fair trade and unequal exchange: Painful realities of defensive writing,JAC: Journal of Advanced Composition,31,1-2,123-151,123,151,,,,"masochism, pain, assignment, torture, pedagogy, curriculum, defensiveness",,"*JAC: Journal of Advanced Composition 31.1-2*, 123-151"
"Hilst, Joshua C",2011,Gutter talk: (An)other idiom of rhetoric,JAC: Journal of Advanced Composition,31,1-2,153-176,153,176,,,,"comic-book, paralogy, linkage, Lyotard, theory, rhet-comp, Frank Miller, rhetorical",,"*JAC: Journal of Advanced Composition 31.1-2*, 153-176"
"Alexander, Jonathan, and Jacqueline Rhodes",2011,Queer: An impossible subject for composition,JAC: Journal of Advanced Composition,31,1-2,177-206,177,206,,,,"queer, queer-theory, queerness, pedagogy, sexuality, theory, rhet-comp",,"*JAC: Journal of Advanced Composition 31.1-2*, 177-206"
"Reiff, Mary Jo",2011,The spatial turn in rhetorical genre studies: Intersections of metaphor and materiality [response to Dylan B. Dryer],JAC: Journal of Advanced Composition,31,1-2,207-224,207,224,,,,"'genre-theory, Dylan B. Dryer, 'Taking up space: On genre systems as geographies of the possible', space, spatial, place, metaphor, materiality, uptake",,"*JAC: Journal of Advanced Composition 31.1-2*, 207-224"
"Hensley Owens, Kim",2011,Rhetorics of E-Health and Information Age Medicine: A Risk-Benefit Analysis,JAC,31,1-2,225-235,225,235,,,,"risk-benefit analysis, ehealth, Google, medicine, authority, medical authority, embodied experience",,"*JAC, vol. 31, no.1-2*, 225-235"
"Owens, Kim Hensley",2011,Rhetorics of e-health and information age medicine: A risk-benefit analysis [response to Karen Kopelson],JAC: Journal of Advanced Composition,31,1-2,225-235,225,235,,,,"Karen Kopelson, 'Writing patients' wrongs: The rhetoric and reality of information age medicine', internet, digital, doctor-patient, e-patient, information quality, risk-benefit, medicine",,"*JAC: Journal of Advanced Composition 31.1-2*, 225-235"
"Berkenkotter, Carol",2011,So who are the new consumers of internet health information? [response essay Karen Kopelson],JAC: Journal of Advanced Composition,31,1-2,235-240,235,240,,,,"Karen Kopelson, 'Writing patients' wrongs: The rhetoric and reality of information age medicine', doctor-patient, medicine, authority, genre, professionalization, e-patient, internet, digital",,"*JAC: Journal of Advanced Composition 31.1-2*, 235-240"
"Want, Joanna Lin",2011,Listen to strangers: A response to Dale Jacobs' 'The audacity of hospitality' [response],JAC: Journal of Advanced Composition,31,1-2,241-248,241,248,,,,"Dale Jacobs, 'The audacity of hospitality', hope, listening, love, hospitality, pedagogy",,"*JAC: Journal of Advanced Composition 31.1-2*, 241-248"
"Vidali, Amy",2011,Embodying/ disabling plagiarism [response to Amy Robillard],JAC: Journal of Advanced Composition,31,1-2,248-266,248,266,,,"This article, written as a response to Amy Robillard's article 'Pass It On: Revising the Plagiarism is Theft Metaphor,' approaches embodiment and plagiarism from a disability studies perspective. Vidali works to illuminate connections between plagiarism and disability such as passing, ownership, and policy. In doing so, she deftly presents the need for scholars, teachers, and administrators to re-think the processes by which these policies are developed and the problematic diagnostics of plagiarism. [Tara Wood, Margaret Price, & Chelsea Johnson, Disability studies, WPA-CompPile Bibliographies, No. 19]","Amy Robillard, 'Pass it on: Revising the plagiarism is theft metaphor', metaphor, plagiarism, disability, disability-studies, embodiment, George Lakoff, Mark Johnson, policy, passing, embodiment",,"*JAC: Journal of Advanced Composition 31.1-2*, 248-266"
"Austin, Keely R",2011,Transformative reframing: From theft to passing on [response to Amy Robillard],JAC: Journal of Advanced Composition,31,1-2,267-273,267,273,,,,"Amy Robillard, 'Pass it on: Revising the plagiarism is theft metaphor', metaphor, plagiarism, embodiment, George Lakoff, Mark Johnson, persuasion, transformative",,"*JAC: Journal of Advanced Composition 31.1-2*, 267-273"
"Metzger, David D",2011,Bobby who? [response to Diane Davis],JAC: Journal of Advanced Composition,31,1-2,273-283,273,283,,,,"Diane Davis, 'Greetings: On Levinas and the wagging tail', ethics, human-animal, animal, Emmanuel Levinas, allegory, recall, memory",,"*JAC: Journal of Advanced Composition 31.1-2*, 273-283"
"Zebroski, James Thomas",2011,"Critical theory, critical pedagogy, and the reconceptualization of rhetoric and composition [response to Jeff Pruchnic]",JAC: Journal of Advanced Composition,31,1-2,283-307,283,307,,,,"Jeff Pruchnic, 'Ironic encounters: Ethics aesthetics, and the 'liberal bias' of composition pedagogy', critical-theory, critical pedagogy, rhet-comp, political, theory, history, reconceptualization, irony",,"*JAC: Journal of Advanced Composition 31.1-2*, 283-307"
"Lazere, Donald",2011,Butler unclarifies the issue [response to Paul Butler],JAC: Journal of Advanced Composition,31,1-2,308-314,308,314,,,,"Paul Butler, 'Style and the public intellectual: Rethinking composition in the public sphere', critique, grammar, style, 'Students' Right to their Own Language', clarity, public intellectual, E.D. Hirsch, public sphere",,"*JAC: Journal of Advanced Composition 31.1-2*, 308-314"
"Butler, Paul",2011,Revisiting the evidence: A reply to Donald Lazere [reply],JAC: Journal of Advanced Composition,31,1-2,314-322,314,322,,,,"style, grammar, clarity, 'Students' Right to their Own Language', Donald Lazere, Richard Lanham, rhetorical-grammar",,"*JAC: Journal of Advanced Composition 31.1-2*, 314-322"
"Jensen, Kyle",2011,Reforming method: An invitation to enchantment [review essay],JAC: Journal of Advanced Composition,31,1-2,323-337,323,337,,,,"'The signature of all things' by Giorgio Agamben, 'Ethics of writing' by Carlo Sini, method, methodology, form, paradigm, signature, archeology, enchantment",,"*JAC: Journal of Advanced Composition 31.1-2*, 323-337"
"Schutten, Julie Kalil",2011,"Environmental sustainability: Witnessing, embodiment, and the grotesque [review essay]",JAC: Journal of Advanced Composition,31,1-2,338-349,338,349,,,,"'Toxic tourism: Rhetorics of pollution, travel, and environmental justice' by Phaedra C. Pezzullo, 'Rhetorics, literacies, and narratives of sustainability' by Peter N. Goggin, sustainability, environment, social movement, nature, witnessing, embodiment, grotesque, posthuman",,"*JAC: Journal of Advanced Composition 31.1-2*, 338-349"
"Ashley, Hannah",2011,A perduring phenomenon [review essay],JAC: Journal of Advanced Composition,31,1-2,349-361,349,361,,,,"'Before Shaughnessy: Basic writing at Yale and Harvard, 1920-1960' by Kelly Ritter, 'The rhetoric of remediation: Negotiating entitlement and access to higher education' by Jane Stanley, basic, history, English-profession, Berkeley, archive, local history",,"*JAC: Journal of Advanced Composition 31.1-2*, 349-361"
"Hensley, Anna",2011,[book review],JAC: Journal of Advanced Composition,31,1-2,363-368,363,368,,,,"'Mad for Foucault: Rethinking the foundations of queer theory' by Lynne Huffer, queer-theory, feminism, Michel Foucault, ethics, gender, sexuality",,"*JAC: Journal of Advanced Composition 31.1-2*, 363-368"
"Lioi, Anthony",2011,[book review],JAC: Journal of Advanced Composition,31,1-2,369-375,369,375,,,,"'Rhetoric, science, and magic in seventeenth-century England' by Ryan J. Stark, Enlightenment, history, 17th-century, logos, pathos, ethos, modernity, plain style, superstition, religion, logic, nature-writing, environmental-rhetoric, magic, enchantment, style",,"*JAC: Journal of Advanced Composition 31.1-2*, 369-375"
"McNaughton, Melanie J",2011,[book review],JAC: Journal of Advanced Composition,31,1-2,375-381,375,381,,,,"'Political affect: Connecting the social and the somatic' by John Protevi, body, political, affect, political-physiology, subjectivity, cognition",,"*JAC: Journal of Advanced Composition 31.1-2*, 375-381"
"Rief, John Joseph",2011,[book review],JAC: Journal of Advanced Composition,31,1-2,381-389,381,389,,,,"'Bioethics in the age of new media' by Joanna Zylinska, doctor-patient, medicine, health care, ethical, bioethics",,"*JAC: Journal of Advanced Composition 31.1-2*, 381-389"
"Brooks, Robin",2011,[book review],JAC: Journal of Advanced Composition,31,1-2,390-394,390,394,,,,"'Liberating language: Sites of rhetorical education in nineteenth-century black America' by Shirley Wilson Logan, history, African-American, rhetoric, education, racial, literacy, self-education, diary, black press, literary club",,"*JAC: Journal of Advanced Composition 31.1-2*, 390-394"
"Parrish, Alex C",2011,[book review],JAC: Journal of Advanced Composition,31,1-2,395-400,395,400,,,,"'The present state of scholarship in the history of rhetoric: A twenty-first century guide' by Lynee Lewis Gaillet & Winifred Bryan Horner, history, rhetorical-studies, bibliography",,"*JAC: Journal of Advanced Composition 31.1-2*, 395-400"
"Gunsberg, Ben",2011,[book review],JAC: Journal of Advanced Composition,31,1-2,400-405,400,405,,,,"'Democracy and rhetoric: John Dewey on the arts of becoming' by Nathan Crick, art, sophist, logic, science, techne, inquiry, aesthetics",,"*JAC: Journal of Advanced Composition 31.1-2*, 400-405"
"Giroux, Henry A",2011,Barack Obama and the resurgent spector of authoritarianism,JAC: Journal of Advanced Composition,31,3-4,415-440,415,440,,,,"politics, rhetoric, presidential",,"*JAC: Journal of Advanced Composition 31.3-4*, 415-440"
"Weber, Ryan",2011,"Ironically, we dwell",JAC: Journal of Advanced Composition,31,3-4,441-471,441,471,,,,"irony, Heidegger, dwelling, digital",,"*JAC: Journal of Advanced Composition 31.3-4*, 441-471"
"Jackson, Brian",2011,Neuroscience and the new urgency of emotional appeals,JAC: Journal of Advanced Composition,31,3-4,472-496,472,496,,,,"rhetoric, presidential, politics, strategy, neuroscience, emotional appeal, pathos",,"*JAC: Journal of Advanced Composition 31.3-4*, 472-496"
"Whicker, John H",2011,"Narratives, metaphors, and power-moves: The history, meanings, and implications of 'post-process'",JAC: Journal of Advanced Composition,31,3-4,497-531,497,531,,,"A history and analysis of the uses of the term post-process in rhetoric and composition. Whicker presents a taxonomy of the ways post-process has been used in composition, critiques the term as a confuscation in all but the strongest applications, and critiques the tendency to construct narratives of change that involve ambiguous metaphors designed as a questionable power-move to discredit past scholarship in order to forward new theoretical perspectives.","process, postprocess, terminology, theory, paralogy, historiography, history, composition, paradigms, social turn",,"*JAC: Journal of Advanced Composition 31.3-4*, 497-531"
"Johnson, T.R",2011,"How student writers develop: Rhetoric, psychoanalysis, ethics, erotics",JAC: Journal of Advanced Composition,31,3-4,533-577,533,577,,,,"FYC, WPA, psychoanalytic",,"*JAC: Journal of Advanced Composition 31.3-4*, 533-577"
"Duncan, Mike",2011,Questioning the auditory sublime: A multisensory-organic approach to prose rhythm,"JAC: A Journal of Rhetoric, Culture, and Politics",31,3-4,579-608,579,608,,,,"text-analysis, nonfiction, rhythm, auditory, body, style-analysis, multisensory-organic, sublime, subliminal",,"*JAC: Journal of Rhetoric, Politics, and Culture 31.3-4*, 579-608"
"Frank, David A.; Paul Slovic; Daniel Vastfjall",2011,"'Statistics don't bleed': Rhetorical psychology, presence, and psychic numbering in genocide pedagogy [response essay]",JAC: Journal of Advanced Composition,31,3-4,609-624,609,624,,,,"rhetoric, psychology, genocide, affect",,"*JAC: Journal of Advanced Composition 31.3-4*, 609-624"
"Towner, Emil B",2011,Quantifying genocide: What are we really counting (on)? [response essay],JAC: Journal of Advanced Composition,31,3-4,625-638,625,638,,,,genocide,,"*JAC: Journal of Advanced Composition 31.3-4*, 625-638"
"Banning, Marlia E",2011,Exigency in dispute: Global warming and uncertainty in contemporary rhetorical criticism [response essay],JAC: Journal of Advanced Composition,31,3-4,638-660,638,660,,,,"rhetorical-criticism, climate, global, science",,"*JAC: Journal of Advanced Composition 31.3-4*, 638-660"
